,METFA3 1GQ
2006-09-22,2525.0
2006-09-29,2550.0
2006-10-02,2567.5
2006-10-04,2567.5
2006-10-06,2535.0
2006-10-10,2535.0
2006-10-11,2535.0
2006-10-13,2500.0
2006-10-16,2535.0
2006-11-03,2500.0
2006-11-06,2535.0
2006-11-17,2500.0
2006-11-20,2535.0
2006-11-29,2535.0
2006-12-06,2535.0
2006-12-08,2600.0
2006-12-11,2600.0
2006-12-15,2600.0
2006-12-19,2609.0
2007-01-12,2590.0
2007-01-16,2590.0
2007-01-23,2590.0
2007-02-05,2590.0
2007-02-12,2590.0
2007-02-14,2613.0
2007-02-15,2624.5
2007-02-16,2648.0
2007-02-21,2648.0
2007-02-27,2648.0
2007-02-28,2675.0
2007-03-02,2675.0
2007-03-07,2675.0
2007-03-22,2675.0
2007-03-23,2650.0
2007-03-26,2675.0
2007-03-27,2675.0
2007-03-28,2700.0
2007-03-30,2725.0
2007-04-16,2600.0
2007-04-17,2600.0
2007-04-24,2600.0
2007-05-02,2600.0
2007-05-08,2700.0
2007-05-10,2700.0
2007-05-16,2700.0
2007-05-23,2756.0
2007-06-01,2756.0
2007-06-07,2798.0
2007-06-20,2798.0
2007-06-29,2799.0
2007-07-03,2600.0
2007-07-09,2600.0
2007-07-13,2600.0
2007-07-16,2600.0
2007-07-23,2600.0
2007-07-27,2600.0
2007-08-03,2600.0
2007-08-08,2625.0
2007-08-10,2625.0
2007-08-21,2625.0
2007-09-04,2625.0
2007-09-21,2600.0
2007-09-25,2625.0
2007-09-27,2625.0
2007-10-01,2300.0
2007-10-03,2550.0
2007-10-05,2550.0
2007-10-19,2550.0
2007-11-01,2550.0
2007-11-02,2600.0
2007-11-08,2550.0
2007-11-14,2550.0
2007-11-15,2550.0
2007-11-16,2550.0
2007-11-22,2637.5
2007-11-30,2550.0
2007-12-04,2550.0
2007-12-07,2520.0
2007-12-11,2625.5
2007-12-13,2625.5
2007-12-14,2540.0
2007-12-20,2625.5
2008-01-03,2675.0
2008-01-07,2550.0
2008-01-10,2675.0
2008-01-11,2614.5
2008-01-15,2614.5
2008-01-18,2614.5
2008-01-28,2589.5
2008-01-31,2550.0
2008-02-01,2589.5
2008-02-07,2589.5
2008-02-08,2589.5
2008-02-12,2589.5
2008-02-22,2600.0
2008-02-27,2600.0
2008-02-29,2600.0
2008-03-03,2579.0
2008-03-07,2600.0
2008-03-12,2600.0
2008-03-13,2650.0
2008-03-14,2635.0
2008-03-19,2635.0
2008-03-28,2635.0
2008-04-01,2775.0
2008-04-03,2775.0
2008-04-08,2822.0
2008-04-09,2800.0
2008-04-14,2822.0
2008-04-17,2778.0
2008-04-18,2855.0
2008-04-25,2855.0
2008-05-02,2800.0
2008-05-08,2855.0
2008-05-09,2866.0
2008-05-12,2866.0
2008-05-14,2866.0
2008-05-15,2866.0
2008-05-19,2883.0
2008-05-22,2883.0
2008-05-29,2883.0
2008-06-03,2866.0
2008-06-04,2800.0
2008-06-05,2800.0
2008-06-11,2883.0
2008-06-12,2883.0
2008-06-13,2883.0
2008-06-19,2883.0
2008-06-27,2916.5
2008-06-30,2950.0
2008-07-01,2900.0
2008-07-02,3020.0
2008-07-07,2985.0
2008-07-11,2985.0
2008-07-17,3025.0
2008-07-28,3025.0
2008-07-29,3025.0
2008-08-06,3025.0
2008-08-07,3025.0
2008-08-19,3025.0
2008-08-21,3025.0
2008-08-22,2985.0
2008-09-03,2925.0
2008-09-04,2925.0
2008-09-05,2900.0
2008-09-12,2900.0
2008-09-16,2880.0
2008-09-18,2880.0
2008-09-23,2828.0
2008-09-26,2778.0
2008-09-29,2800.0
2008-09-30,2800.0
2008-10-01,2542.5
2008-10-06,2700.0
2008-10-07,2700.0
2008-10-08,2700.0
2008-10-09,2550.0
2008-10-10,2300.0
2008-10-17,2300.0
2008-10-21,2300.0
2008-10-22,2300.0
2008-10-23,2300.0
2008-10-24,2300.0
2008-10-27,2300.0
2008-10-28,2300.0
2008-10-30,2300.0
2008-11-03,2250.0
2008-11-05,2250.0
2008-11-06,2250.0
2008-11-07,2250.0
2008-11-13,2250.0
2008-11-14,2250.0
2008-11-17,2250.0
2008-11-18,2225.0
2008-12-02,2225.0
2008-12-03,2200.0
2008-12-04,2200.0
2008-12-05,2050.0
2008-12-08,2050.0
2008-12-15,2045.0
2008-12-16,2045.0
2008-12-17,2012.5
2008-12-18,2012.5
2008-12-19,2012.5
2008-12-30,2012.5
2008-12-31,2012.5
2009-01-06,1912.0
2009-01-07,1797.0
2009-01-08,1797.0
2009-01-09,1797.0
2009-01-13,1685.0
2009-01-14,1685.0
2009-01-15,1625.0
2009-01-22,1625.0
2009-01-23,1625.0
2009-01-28,1625.0
2009-01-29,1596.5
2009-01-30,1500.0
2009-02-05,1596.5
2009-02-06,1521.5
2009-02-12,1460.0
2009-02-13,1460.0
2009-02-19,1460.0
2009-02-20,1460.0
2009-02-26,1460.0
2009-02-27,1460.0
2009-03-04,1460.0
2009-03-05,1460.0
2009-03-06,1460.0
2009-03-12,1460.0
2009-03-13,1460.0
