"","METFC3 1GQ"
"2006-09-22",7485
"2006-09-29",7670
"2006-10-02",7400
"2006-10-04",7650
"2006-10-10",7650
"2006-10-11",7650
"2006-10-13",7650
"2006-10-16",7600
"2006-11-03",7600
"2006-11-06",7600
"2006-11-17",7600
"2006-11-20",7600
"2006-11-29",7400
"2006-12-06",7400
"2006-12-08",7287.5
"2006-12-11",7287.5
"2006-12-15",7398
"2006-12-19",7275
"2007-01-12",6800
"2007-01-16",6800
"2007-01-23",6800
"2007-02-05",6800
"2007-02-12",6800
"2007-02-14",6173
"2007-02-15",6000
"2007-02-16",6000
"2007-02-21",6000
"2007-02-27",6000
"2007-02-28",5775
"2007-03-02",5732
"2007-03-07",5775
"2007-03-22",5865
"2007-03-23",5732
"2007-03-26",5865
"2007-03-27",5865
"2007-03-28",5907.5
"2007-03-30",5865
"2007-04-16",6250
"2007-04-17",6250
"2007-04-24",6250
"2007-05-02",6250
"2007-05-08",6250
"2007-05-10",6300
"2007-05-16",6300
"2007-05-23",6775
"2007-06-01",6775
"2007-06-07",7297
"2007-06-20",7297
"2007-06-29",7394
"2007-07-03",6625
"2007-07-09",6825
"2007-07-13",7055
"2007-07-16",7055
"2007-07-23",6900
"2007-07-27",7055
"2007-08-03",7200
"2007-08-08",7500
"2007-08-10",7500
"2007-08-21",7500
"2007-09-04",7500
"2007-09-21",7277.5
"2007-09-25",7500
"2007-09-27",7500
"2007-10-01",6657
"2007-10-03",7086
"2007-10-05",7086
"2007-10-19",7086
"2007-11-01",7580
"2007-11-02",7761
"2007-11-08",7580
"2007-11-14",7537.5
"2007-11-15",7537.5
"2007-11-16",7537.5
"2007-11-22",6700
"2007-11-30",7537.5
"2007-12-04",7537.5
"2007-12-07",7350
"2007-12-11",6700
"2007-12-13",6700
"2007-12-14",7537.5
"2007-12-20",6700
"2008-01-03",7400
"2008-01-07",7400
"2008-01-10",7400
"2008-01-11",7400
"2008-01-15",7400
"2008-01-18",7400
"2008-01-28",7400
"2008-01-31",7077
"2008-02-01",7400
"2008-02-07",7200
"2008-02-08",7200
"2008-02-12",7100
"2008-02-22",7054
"2008-02-27",7054
"2008-02-29",7200
"2008-03-03",7077
"2008-03-07",7200
"2008-03-12",7400
"2008-03-13",6944
"2008-03-14",7400
"2008-03-19",7400
"2008-03-28",7400
"2008-04-01",7325
"2008-04-03",7300
"2008-04-08",7400
"2008-04-09",7447.5
"2008-04-14",7543.05
"2008-04-17",7150
"2008-04-18",7653.55
"2008-04-25",7653.55
"2008-05-02",7591.1
"2008-05-08",7716
"2008-05-09",7716
"2008-05-12",7758
"2008-05-14",7758
"2008-05-15",7758
"2008-05-19",7950
"2008-05-22",8125
"2008-05-29",8125
"2008-06-03",7758
"2008-06-04",7500
"2008-06-05",7500
"2008-06-11",7758
"2008-06-12",7758
"2008-06-13",7758
"2008-06-19",7758
"2008-06-27",8025
"2008-06-30",8350
"2008-07-01",7850
"2008-07-02",7750
"2008-07-07",7975
"2008-07-11",7975
"2008-07-17",7975
"2008-07-28",8068
"2008-07-29",8068
"2008-08-06",8018
"2008-08-07",8018
"2008-08-19",8018
"2008-08-21",8018
"2008-08-22",7843
"2008-09-03",7868
"2008-09-04",7850
"2008-09-05",7775
"2008-09-12",7775
"2008-09-16",7725
"2008-09-18",7725
"2008-09-23",7700
"2008-09-26",7700
"2008-09-29",7700
"2008-09-30",7700
"2008-10-06",7000
"2008-10-07",7000
"2008-10-08",7000
"2008-10-09",6700
"2008-10-10",5621
"2008-10-17",5621
"2008-10-21",5621
"2008-10-22",5500
"2008-10-23",5500
"2008-10-24",5500
"2008-10-27",5500
"2008-10-28",5300
"2008-10-30",5300
"2008-11-03",5100
"2008-11-05",5100
"2008-11-06",5000
"2008-11-07",5000
"2008-11-13",5000
"2008-11-14",5000
"2008-11-17",5000
"2008-11-18",4659.5
"2008-12-02",4659.5
"2008-12-03",4519
"2008-12-04",4519
"2008-12-05",4500
"2008-12-08",4500
"2008-12-15",4350
"2008-12-16",4350
"2008-12-17",4100
"2008-12-18",4100
"2008-12-19",4100
"2008-12-30",4100
"2008-12-31",4100
"2009-01-06",3553.5
"2009-01-07",3253.5
"2009-01-08",3253.5
"2009-01-09",3253.5
"2009-01-13",3253.5
"2009-01-14",3253.5
"2009-01-15",3150
"2009-01-22",3150
"2009-01-23",3150
"2009-01-28",3150
"2009-01-29",3150
"2009-02-05",3150
"2009-02-06",3172.5
"2009-02-12",3172.5
"2009-02-13",3172.5
"2009-02-19",3172.5
"2009-02-20",3172.5
"2009-02-26",3172.5
"2009-02-27",3172.5
"2009-03-04",3172.5
"2009-03-05",3172.5
"2009-03-06",3172.5
"2009-03-12",3172.5
"2009-03-13",3172.5
"2009-03-19",3250
"2009-03-25",3250
"2009-03-26",3250
"2009-03-27",3303.5
"2009-03-30",3303.5
"2009-03-31",3307
"2009-04-02",3400
"2009-04-03",3400
"2009-04-23",3400
"2009-04-24",3650
"2009-04-28",3650
"2009-04-29",3734
"2009-04-30",3734
"2009-05-04",3734
"2009-05-05",3734
"2009-05-07",3734
"2009-05-08",4009
"2009-05-14",4009
"2009-05-15",4009
"2009-05-19",4009
"2009-05-20",4035
"2009-05-27",4035
"2009-05-28",4151
"2009-06-03",4151
"2009-06-04",4151
"2009-06-05",4151
"2009-06-08",4200
"2009-06-09",4200
"2009-06-15",4200
"2009-06-16",4200
"2009-06-17",4200
"2009-06-18",4203
"2009-06-29",4228
"2009-06-30",4228
"2009-07-02",4400
"2009-07-06",4500
"2009-07-07",4400
"2009-07-10",4400
"2009-07-16",4400
"2009-07-24",4500
"2009-07-27",4500
"2009-08-05",4900
"2009-08-10",4960
"2009-08-14",4960
"2009-08-20",4960
"2009-08-21",5043
"2009-08-28",5000
"2009-09-03",5043
"2009-09-07",5300
"2009-09-10",5300
"2009-09-24",5300
"2009-10-01",5345.5
"2009-10-02",5400
"2009-10-07",5400
"2009-10-08",5500
"2009-10-09",5600
"2009-10-12",5600
"2009-10-19",5600
"2009-10-23",5600
"2009-10-26",5600
"2009-10-30",5600
"2009-11-02",5666
"2009-11-06",5666
"2009-11-09",5666
"2009-11-13",5666
"2009-11-16",5666
"2009-11-19",5666
"2009-11-27",5666
"2009-11-30",5666
"2009-12-01",5916
"2009-12-02",6175
"2009-12-03",6175
"2009-12-04",6175
"2009-12-07",6175
"2009-12-09",6175
"2009-12-10",6250
"2009-12-11",6250
"2009-12-16",6250
"2009-12-17",6275
"2009-12-24",6275
"2009-12-30",6275
"2009-12-31",6275
"2010-01-08",6213.5
"2010-01-11",6309
"2010-01-12",6362.5
"2010-01-13",6500
"2010-01-15",6500
"2010-01-22",6500
"2010-02-01",6500
"2010-02-02",6500
"2010-02-03",7100
"2010-02-05",7100
"2010-02-10",7165
"2010-02-25",7197
"2010-02-26",7181
"2010-03-23",7181
"2010-03-24",7165
"2010-03-25",7181
"2010-03-26",7181
"2010-03-30",7197
"2010-03-31",7197
"2010-04-08",6944
"2010-04-09",6944
