,METFL3 1GQ
2006-12-19,1444.0
2007-01-12,1400.0
2007-02-05,1350.0
2007-02-12,1350.0
2007-02-14,1350.0
2007-02-15,1350.0
2007-02-21,1350.0
2007-02-27,1350.0
2007-03-02,1543.0
2007-03-07,1350.0
2007-03-22,1350.0
2007-03-23,1543.0
2007-03-26,1350.0
2007-03-27,1350.0
2007-03-28,1475.0
2007-03-30,1600.0
2007-04-17,1425.0
2007-04-24,1425.0
2007-05-08,1425.0
2007-05-10,1425.0
2007-05-23,1737.5
2007-06-01,1737.5
2007-06-07,1983.5
2007-06-20,1983.5
2007-06-29,2067.0
2007-07-03,1850.0
2007-07-09,2000.0
2007-07-13,2425.0
2007-07-16,2425.0
2007-07-27,2425.0
2007-08-03,2000.0
2007-08-08,2350.0
2007-08-10,2650.0
2007-08-21,2650.0
2007-09-04,2750.0
2007-09-21,2600.0
2007-09-25,2750.0
2007-09-27,2750.0
2007-10-01,1900.0
2007-10-03,2150.0
2007-10-05,2200.0
2007-11-02,2756.0
2007-11-08,2150.0
2007-11-14,2300.0
2007-11-15,2300.0
2007-11-16,2900.0
2007-11-22,2450.0
2007-11-30,2828.0
2007-12-04,3439.0
2007-12-07,3280.0
2007-12-11,2450.0
2007-12-13,2450.0
2007-12-14,3280.0
2007-12-20,2450.0
2008-01-03,2800.0
2008-01-07,2800.0
2008-01-10,2800.0
2008-01-11,2800.0
2008-01-15,2800.0
2008-01-18,2800.0
2008-01-31,2800.0
2008-02-01,2800.0
2008-02-07,2750.0
2008-02-08,2750.0
2008-02-12,2800.0
2008-02-22,2617.5
2008-02-27,2750.0
2008-02-29,2625.0
2008-03-03,2700.0
2008-03-07,2625.0
2008-03-12,2625.0
2008-03-13,2450.0
2008-03-14,2625.0
2008-03-19,2750.0
2008-03-28,2750.0
2008-04-01,2650.0
2008-04-03,2600.0
2008-04-09,2650.0
2008-04-14,2600.0
2008-04-17,2562.5
2008-04-18,2600.0
2008-04-25,2600.0
2008-05-02,2650.0
2008-05-08,2733.0
