,METFN3 1GQ
2006-09-22,24000.0
2006-10-02,19655.0
2006-10-11,19655.0
2006-10-12,19655.0
2006-10-13,20000.0
2006-10-16,27000.0
2006-11-03,27500.0
2006-11-17,27500.0
2006-11-29,27000.0
2006-12-15,27558.0
2006-12-19,29400.0
2007-01-08,31000.0
2007-01-12,32500.0
2007-02-05,31500.0
2007-02-12,31500.0
2007-02-14,32000.0
2007-02-15,34250.0
2007-02-21,34250.0
2007-02-27,35000.0
2007-03-02,35000.0
2007-03-07,35250.0
2007-03-22,35250.0
2007-03-23,34000.0
2007-03-26,35250.0
2007-03-27,35250.0
2007-03-28,36500.0
2007-03-30,37250.0
2007-04-17,36000.0
2007-04-24,36000.0
2007-05-07,37000.0
2007-05-08,37000.0
2007-05-10,37000.0
2007-05-23,46000.0
2007-06-01,46000.0
2007-06-07,46800.0
2007-06-11,47000.0
2007-06-20,47000.0
2007-06-21,42000.0
2007-06-29,47476.0
2007-07-03,39850.0
2007-07-09,38700.0
2007-07-11,37500.0
2007-07-13,37479.0
2007-07-16,37479.0
2007-07-23,36250.0
2007-07-27,36239.5
2007-08-03,36250.0
2007-08-08,33010.0
2007-08-10,32250.0
2007-08-21,32250.0
2007-09-04,30775.0
2007-09-21,32760.0
2007-09-25,30775.0
2007-09-27,30775.0
2007-10-01,28500.0
2007-10-03,31000.0
2007-10-05,29500.0
2007-11-01,31000.0
2007-11-02,31432.5
2007-11-08,32050.0
2007-11-14,32100.0
2007-11-15,32100.0
2007-11-16,32000.0
2007-11-22,29380.5
2007-11-30,32000.0
2007-12-04,30000.0
2007-12-07,30000.0
2007-12-11,28280.5
2007-12-13,28280.5
2007-12-14,30432.5
2007-12-20,28280.5
2008-01-03,32000.0
2008-01-07,31000.0
2008-01-10,32000.0
2008-01-11,28660.0
2008-01-15,29830.0
2008-01-18,29830.0
2008-01-31,28660.0
2008-02-01,29830.0
2008-02-07,27830.0
2008-02-08,27830.0
2008-02-12,32000.0
2008-02-22,27500.0
2008-02-27,27500.0
2008-02-29,27900.0
2008-03-03,28000.0
2008-03-07,27900.0
2008-03-12,27900.0
2008-03-13,26000.0
2008-03-14,27900.0
2008-03-19,27925.0
2008-03-28,27925.0
2008-04-01,29500.0
2008-04-03,29881.0
2008-04-09,29762.0
2008-04-14,29881.0
2008-04-17,26500.0
2008-04-18,29881.0
2008-04-25,29881.0
2008-05-02,29500.0
2008-05-08,29881.0
2008-05-09,29881.0
2008-05-12,29000.0
2008-05-14,29881.0
2008-05-15,29881.0
2008-05-19,29000.0
2008-05-22,29250.0
2008-05-29,29250.0
2008-06-03,29881.0
2008-06-04,27000.0
2008-06-05,26000.0
2008-06-11,29881.0
2008-06-12,28381.0
2008-06-13,28381.0
2008-06-19,28381.0
2008-06-27,27000.0
2008-06-30,27000.0
2008-07-01,26000.0
2008-07-02,26000.0
2008-07-07,25000.0
2008-07-11,25000.0
2008-07-17,25000.0
2008-07-28,24791.0
2008-07-29,24791.0
