"","METFT3 1GQ"
"2007-03-23",10362
"2007-03-28",11950
"2007-04-24",11200
"2007-05-08",11200
"2007-05-10",13550
"2007-06-07",13550
"2007-07-03",12300
"2007-07-09",12550
"2007-07-13",13444.5
"2007-07-16",13444.5
"2007-07-23",10596
"2007-07-27",13000
"2007-08-03",10596
"2007-08-21",10596
"2007-09-04",10596
"2007-09-21",13889
"2007-09-25",10596
"2007-10-01",12000
"2007-10-03",10273
"2007-11-01",12875
"2007-11-02",13999
"2007-11-08",12875
"2007-11-15",12875
"2007-11-16",15500
"2007-11-22",13000
"2007-11-30",15500
"2007-12-07",16350
"2007-12-13",14000
"2007-12-14",15925
"2007-12-20",14000
"2008-01-03",15000
"2008-01-07",15000
"2008-01-10",15000
"2008-01-11",16094
"2008-01-15",15547
"2008-01-18",15547
"2008-01-31",16547
"2008-02-01",15547
"2008-02-08",15547
"2008-02-12",15000
"2008-02-22",16372
"2008-02-27",16372
"2008-02-29",16550
"2008-03-03",16825
"2008-03-07",16550
"2008-03-13",15000
"2008-03-14",16550
"2008-03-19",16675
"2008-03-28",16675
"2008-04-01",17500
"2008-04-03",16975
"2008-04-17",16250
"2008-04-18",17818.5
"2008-04-25",16975
"2008-05-08",17500
"2008-05-09",17500
"2008-05-14",18250
"2008-05-15",18250
"2008-05-19",19500
"2008-05-22",21750
"2008-06-03",18250
"2008-06-05",18500
"2008-06-11",18250
"2008-06-12",20250
"2008-06-13",20250
"2008-06-27",22477.5
"2008-07-01",19500
"2008-07-02",19500
"2008-07-07",20082
"2008-07-11",20082
"2008-07-29",20082
"2008-08-06",20082
"2008-08-07",20082
"2008-08-21",20082
"2008-08-22",20082
"2008-09-03",20082
"2008-09-04",21332
"2008-09-05",21332
"2008-09-12",21332
"2008-09-16",21232
"2008-09-18",21232
"2008-09-23",21232
"2008-09-26",21232
"2008-09-29",21300
"2008-09-30",21300
"2008-10-06",22000
"2008-10-07",22000
"2008-10-09",17500
"2008-10-10",16750
"2008-10-17",16750
"2008-10-21",16750
"2008-10-22",15000
"2008-10-23",15000
"2008-10-24",15000
"2008-11-03",13500
"2008-11-05",13500
"2008-11-06",13500
"2008-11-07",13500
"2008-11-13",13500
"2008-11-14",13500
"2008-11-17",13500
"2008-11-18",13850
"2008-12-04",13850
"2008-12-05",13375
"2008-12-15",13250
"2008-12-17",13250
"2008-12-18",13250
"2008-12-19",13250
"2008-12-30",13250
"2008-12-31",13250
"2009-01-06",12400
"2009-01-07",11450
"2009-01-08",11450
"2009-01-09",11450
"2009-01-14",11450
"2009-01-15",10950
"2009-01-22",10950
"2009-01-23",10950
"2009-01-28",10950
"2009-01-29",10950
"2009-02-05",10950
"2009-02-06",10950
"2009-02-12",10950
"2009-02-13",10950
"2009-02-19",10950
"2009-02-20",10950
"2009-02-26",10950
"2009-02-27",10950
"2009-03-05",10950
"2009-03-06",10950
"2009-03-12",10950
"2009-03-13",10950
"2009-03-19",10950
"2009-03-25",10950
"2009-03-26",10950
"2009-03-27",11020
"2009-03-30",11020
"2009-03-31",11020
"2009-04-02",11300
"2009-04-03",11300
"2009-04-23",11300
"2009-04-24",11400
"2009-04-28",11400
"2009-04-29",11400
"2009-04-30",11400
"2009-05-07",11400
"2009-05-08",12300
"2009-05-14",12300
"2009-05-15",12300
"2009-05-19",12300
"2009-05-20",12425
"2009-06-03",12425
"2009-06-04",12425
"2009-06-05",12425
"2009-06-08",12425
"2009-06-15",12425
"2009-06-16",12425
"2009-06-17",12425
"2009-06-18",12551.5
"2009-06-29",12914.5
"2009-06-30",12914.5
"2009-07-02",12525
"2009-07-06",13083.5
"2009-07-10",13083.5
"2009-07-16",13083.5
"2009-07-27",13050
"2009-08-05",14000
"2009-08-14",14000
"2009-08-20",14000
"2009-08-21",14400
"2009-08-28",14000
"2009-09-03",14400
"2009-09-24",14400
"2009-10-01",14020
"2009-10-02",14960
"2009-10-12",14010
"2009-10-19",14010
"2009-10-26",14010
"2009-11-09",14010
"2009-11-16",14010
"2009-11-19",14010
"2009-12-02",14410
"2009-12-03",14010
"2009-12-10",14750
"2009-12-11",14750
"2009-12-17",14750
"2009-12-24",14750
"2010-01-08",15250
"2010-01-11",15741.5
"2010-01-12",15741.5
"2010-01-15",15741.5
"2010-01-22",15741.5
