"","METFZ3 1GQ"
"2006-09-22",3440
"2006-09-29",3500
"2006-10-02",3385
"2006-10-10",3385
"2006-10-11",3385
"2006-10-12",3385
"2006-10-13",3482.5
"2006-10-16",3355
"2006-11-03",3452.5
"2006-11-17",3452.5
"2006-11-20",3355
"2006-11-29",3400
"2006-12-06",3400
"2006-12-11",3400
"2006-12-15",3497.5
"2006-12-19",3600
"2007-01-08",4000
"2007-01-12",4000
"2007-01-23",4000
"2007-02-05",3750
"2007-02-12",3750
"2007-02-14",3750
"2007-02-15",3670
"2007-02-21",3670
"2007-02-27",3610
"2007-02-28",3610
"2007-03-02",3670
"2007-03-07",3610
"2007-03-22",3610
"2007-03-23",3709
"2007-03-26",3610
"2007-03-27",3610
"2007-03-28",3606.5
"2007-03-30",3610
"2007-04-17",3750
"2007-04-24",3750
"2007-05-07",3750
"2007-05-08",3750
"2007-05-10",3675
"2007-05-16",3675
"2007-05-23",3675
"2007-06-01",3675
"2007-06-07",3724.5
"2007-06-11",3724.5
"2007-06-20",3724.5
"2007-06-21",3200
"2007-06-29",3750
"2007-07-03",3725
"2007-07-09",3675
"2007-07-11",3675
"2007-07-13",3428.5
"2007-07-16",3428.5
"2007-07-23",3550
"2007-07-27",3362
"2007-08-03",3550
"2007-08-08",3550
"2007-08-10",3550
"2007-08-21",3550
"2007-09-04",3550
"2007-09-21",3362
"2007-09-25",3550
"2007-09-27",3550
"2007-10-01",2883
"2007-10-03",3600
"2007-10-05",2883
"2007-10-19",3600
"2007-11-01",3500
"2007-11-02",3200
"2007-11-08",3500
"2007-11-14",3350
"2007-11-15",3350
"2007-11-16",3143
"2007-11-22",2833
"2007-11-30",3197
"2007-12-04",3043
"2007-12-07",3000
"2007-12-11",2744.5
"2007-12-13",2744.5
"2007-12-14",2900
"2007-12-20",2744.5
"2008-01-03",2825
"2008-01-07",2800
"2008-01-10",2825
"2008-01-11",2800
"2008-01-15",2800
"2008-01-18",2800
"2008-01-31",2800
"2008-02-01",2800
"2008-02-07",2775
"2008-02-08",2775
"2008-02-12",2750
"2008-02-22",2625
"2008-02-27",2600
"2008-02-29",2450
"2008-03-03",2450
"2008-03-07",2450
"2008-03-12",2450
"2008-03-13",2285.5
"2008-03-14",2450
"2008-03-19",2450
"2008-03-28",2450
"2008-04-01",2400
"2008-04-03",2400
"2008-04-09",2400
"2008-04-14",2400
"2008-04-17",2285.5
"2008-04-18",2400
"2008-04-25",2400
"2008-05-02",2400
"2008-05-08",2400
"2008-05-09",2375
"2008-05-12",2400
"2008-05-14",2350
"2008-05-15",2350
"2008-05-19",2350
"2008-05-22",2434.5
"2008-05-29",2434.5
"2008-06-03",2332.5
"2008-06-05",2300
"2008-06-11",2307.5
"2008-06-12",2307.5
"2008-06-13",2307.5
"2008-06-19",2307.5
"2008-06-27",2250
"2008-06-30",2200
"2008-07-01",2150
"2008-07-02",2300
"2008-07-07",2197
"2008-07-11",2197
"2008-07-17",2197
"2008-07-28",2047
"2008-07-29",2047
"2008-08-06",2047
